timestamp,armed,prearmed,ready_to_arm,lockdown,manual_lockdown,force_failsafe,in_esc_calibration_mode
267048508,1,0,1,0,0,0,0
267557148,1,0,1,0,0,0,0
268064345,1,0,1,0,0,0,0
268570174,1,0,1,0,0,0,0
269076164,1,0,1,0,0,0,0
269582146,1,0,1,0,0,0,0
270088147,1,0,1,0,0,0,0
270594513,1,0,1,0,0,0,0
271100177,1,0,1,0,0,0,0
271606165,1,0,1,0,0,0,0
272112146,1,0,1,0,0,0,0
272618147,1,0,1,0,0,0,0
273124570,1,0,1,0,0,0,0
273630176,1,0,1,0,0,0,0
274136147,1,0,1,0,0,0,0
274642147,1,0,1,0,0,0,0
275148146,1,0,1,0,0,0,0
275654546,1,0,1,0,0,0,0
276160175,1,0,1,0,0,0,0
276666146,1,0,1,0,0,0,0
277172146,1,0,1,0,0,0,0
277678146,1,0,1,0,0,0,0
278184348,1,0,1,0,0,0,0
278690177,1,0,1,0,0,0,0
279196146,1,0,1,0,0,0,0
279702145,1,0,1,0,0,0,0
280208147,1,0,1,0,0,0,0
280714398,1,0,1,0,0,0,0
281220176,1,0,1,0,0,0,0
281726146,1,0,1,0,0,0,0
282232145,1,0,1,0,0,0,0
282738147,1,0,1,0,0,0,0
283244591,1,0,1,0,0,0,0
283750203,1,0,1,0,0,0,0
284256146,1,0,1,0,0,0,0
284762145,1,0,1,0,0,0,0
285268168,1,0,1,0,0,0,0
285774522,1,0,1,0,0,0,0
286280176,1,0,1,0,0,0,0
286786146,1,0,1,0,0,0,0
287292147,1,0,1,0,0,0,0
287798146,1,0,1,0,0,0,0
288304511,1,0,1,0,0,0,0
288810176,1,0,1,0,0,0,0
289316174,1,0,1,0,0,0,0
289822145,1,0,1,0,0,0,0
290328148,1,0,1,0,0,0,0
290834356,1,0,1,0,0,0,0
291340175,1,0,1,0,0,0,0
291846146,1,0,1,0,0,0,0
292352146,1,0,1,0,0,0,0
292858146,1,0,1,0,0,0,0
293364342,1,0,1,0,0,0,0
293870223,1,0,1,0,0,0,0
294376199,1,0,1,0,0,0,0
294882145,1,0,1,0,0,0,0
295388147,1,0,1,0,0,0,0
295894324,1,0,1,0,0,0,0
296400224,1,0,1,0,0,0,0
296906148,1,0,1,0,0,0,0
297412196,1,0,1,0,0,0,0
297918149,1,0,1,0,0,0,0
298424441,1,0,1,0,0,0,0
298930175,1,0,1,0,0,0,0
299436146,1,0,1,0,0,0,0
299942159,1,0,1,0,0,0,0
300448147,1,0,1,0,0,0,0
300954388,1,0,1,0,0,0,0
301460174,1,0,1,0,0,0,0
301966156,1,0,1,0,0,0,0
302472146,1,0,1,0,0,0,0
302978147,1,0,1,0,0,0,0
303484535,1,0,1,0,0,0,0
303990208,1,0,1,0,0,0,0
304496146,1,0,1,0,0,0,0
305002145,1,0,1,0,0,0,0
305508147,1,0,1,0,0,0,0
306014344,1,0,1,0,0,0,0
306520176,1,0,1,0,0,0,0
307026146,1,0,1,0,0,0,0
307532147,1,0,1,0,0,0,0
308038147,1,0,1,0,0,0,0
308544536,1,0,1,0,0,0,0
309050344,1,0,1,0,0,0,0
309556146,1,0,1,0,0,0,0
310062146,1,0,1,0,0,0,0
310568167,1,0,1,0,0,0,0
311074517,1,0,1,0,0,0,0
311580174,1,0,1,0,0,0,0
312086146,1,0,1,0,0,0,0
312592146,1,0,1,0,0,0,0
313098147,1,0,1,0,0,0,0
313604356,1,0,1,0,0,0,0
314110174,1,0,1,0,0,0,0
314616148,1,0,1,0,0,0,0
315122146,1,0,1,0,0,0,0
315628146,1,0,1,0,0,0,0
316134400,1,0,1,0,0,0,0
316640232,1,0,1,0,0,0,0
317146259,1,0,1,0,0,0,0
317652146,1,0,1,0,0,0,0
318158147,1,0,1,0,0,0,0
318664507,1,0,1,0,0,0,0
319170174,1,0,1,0,0,0,0
319676147,1,0,1,0,0,0,0
320182145,1,0,1,0,0,0,0
320688147,1,0,1,0,0,0,0
321194538,1,0,1,0,0,0,0
321700176,1,0,1,0,0,0,0
322206150,1,0,1,0,0,0,0
322712145,1,0,1,0,0,0,0
323218147,1,0,1,0,0,0,0
323724509,1,0,1,0,0,0,0
324230177,1,0,1,0,0,0,0
324736146,1,0,1,0,0,0,0
325242147,1,0,1,0,0,0,0
325748147,1,0,1,0,0,0,0
326254330,1,0,1,0,0,0,0
326760175,1,0,1,0,0,0,0
327266146,1,0,1,0,0,0,0
