timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7],control[8],control[9],control[10],control[11],reversible_flags
267115117,267114994,0.0020000006,2.3269296e-10,0.0019999996,1.376824e-13,nan,nan,nan,nan,nan,nan,nan,nan,0
267116366,267116243,0.002,1.8174473e-10,0.0019999992,1.542039e-13,nan,nan,nan,nan,nan,nan,nan,nan,0
267217619,267217491,0.0020000006,5.7321356e-11,0.0019999996,5.9093966e-11,nan,nan,nan,nan,nan,nan,nan,nan,0
267315113,267314991,0.002,0.0,0.002,8.390899e-12,nan,nan,nan,nan,nan,nan,nan,nan,0
267417611,267417491,0.002,2.6248065e-10,0.0019999996,2.855765e-11,nan,nan,nan,nan,nan,nan,nan,nan,0
267515113,267514992,0.0020000003,0.0,0.0019999996,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
267616362,267616242,0.002,5.5252178e-11,0.0019999992,1.7757847e-10,nan,nan,nan,nan,nan,nan,nan,nan,0
267717612,267717491,0.0020000003,1.464116e-10,0.0019999999,2.8211374e-11,nan,nan,nan,nan,nan,nan,nan,nan,0
267816361,267816242,0.0020000006,7.953202e-11,0.0019999996,3.6883302e-11,nan,nan,nan,nan,nan,nan,nan,nan,0
267917611,267917491,0.0020000003,2.918539e-10,0.0019999994,9.389069e-14,nan,nan,nan,nan,nan,nan,nan,nan,0
268016369,268016248,0.0019999994,2.8606686e-11,0.0019999999,3.206393e-10,nan,nan,nan,nan,nan,nan,nan,nan,0
268117617,268117490,0.011901585,7.460426e-12,0.006621433,0.0052801524,nan,nan,nan,nan,nan,nan,nan,nan,0
268215111,268214991,0.030181214,0.011436527,0.016050925,0.019389525,nan,nan,nan,nan,nan,nan,nan,nan,0
268316358,268316241,0.04482658,0.026487967,0.033078704,0.033584476,nan,nan,nan,nan,nan,nan,nan,nan,0
268417617,268417490,0.06045955,0.04153986,0.050951414,0.053194508,nan,nan,nan,nan,nan,nan,nan,nan,0
268516358,268516241,0.07736321,0.059970982,0.0697983,0.07410906,nan,nan,nan,nan,nan,nan,nan,nan,0
268617615,268617491,0.10163776,0.07912521,0.09014609,0.09340793,nan,nan,nan,nan,nan,nan,nan,nan,0
268715111,268714991,0.1244279,0.10539833,0.112462774,0.11286351,nan,nan,nan,nan,nan,nan,nan,nan,0
268817610,268817491,0.14888528,0.13030809,0.13501853,0.13864325,nan,nan,nan,nan,nan,nan,nan,nan,0
268915109,268914991,0.1742018,0.15517266,0.1639063,0.16441299,nan,nan,nan,nan,nan,nan,nan,nan,0
269016367,269016241,0.20235886,0.1818365,0.19209887,0.1945851,nan,nan,nan,nan,nan,nan,nan,nan,0
269117612,269117490,0.23555033,0.20858772,0.22231044,0.22502725,nan,nan,nan,nan,nan,nan,nan,nan,0
269216359,269216241,0.26534668,0.24421364,0.24956615,0.25897887,nan,nan,nan,nan,nan,nan,nan,nan,0
269317610,269317490,0.30002543,0.2780214,0.2841885,0.29031026,nan,nan,nan,nan,nan,nan,nan,nan,0
269415109,269414991,0.33414993,0.31465632,0.3176608,0.32860664,nan,nan,nan,nan,nan,nan,nan,nan,0
269517609,269517490,0.37452435,0.34805974,0.35765263,0.36440393,nan,nan,nan,nan,nan,nan,nan,nan,0
269615113,269614991,0.4135994,0.3867481,0.3945422,0.40634212,nan,nan,nan,nan,nan,nan,nan,nan,0
269716359,269716241,0.45687196,0.42638966,0.4406269,0.44213468,nan,nan,nan,nan,nan,nan,nan,nan,0
269817610,269817490,0.5021083,0.46701118,0.48072955,0.4859651,nan,nan,nan,nan,nan,nan,nan,nan,0
269916367,269916241,0.5442476,0.51558846,0.5200637,0.53726375,nan,nan,nan,nan,nan,nan,nan,nan,0
270017608,270017491,0.59699154,0.55527925,0.5766546,0.57492983,nan,nan,nan,nan,nan,nan,nan,nan,0
270116360,270116242,0.63670474,0.6115768,0.61561507,0.6319667,nan,nan,nan,nan,nan,nan,nan,nan,0
270217607,270217490,0.6936995,0.65625626,0.6695375,0.6787808,nan,nan,nan,nan,nan,nan,nan,nan,0
270315115,270314991,0.7266426,0.69157857,0.702947,0.71312004,nan,nan,nan,nan,nan,nan,nan,nan,0
270416360,270416241,0.7473071,0.70356476,0.7196258,0.7284053,nan,nan,nan,nan,nan,nan,nan,nan,0
270517608,270517491,0.7610883,0.71694875,0.72289973,0.7535082,nan,nan,nan,nan,nan,nan,nan,nan,0
270616361,270616242,0.7653597,0.74608135,0.75474215,0.75585747,nan,nan,nan,nan,nan,nan,nan,nan,0
270717608,270717490,0.80201083,0.73934966,0.74536616,0.7920752,nan,nan,nan,nan,nan,nan,nan,nan,0
270815119,270814991,0.80319136,0.7657445,0.78766483,0.777901,nan,nan,nan,nan,nan,nan,nan,nan,0
