timestamp,unallocated_torque[0],unallocated_torque[1],unallocated_torque[2],unallocated_thrust[0],unallocated_thrust[1],unallocated_thrust[2],handled_motor_failure_mask,torque_setpoint_achieved,thrust_setpoint_achieved,actuator_saturation[0],actuator_saturation[1],actuator_saturation[2],actuator_saturation[3],actuator_saturation[4],actuator_saturation[5],actuator_saturation[6],actuator_saturation[7],actuator_saturation[8],actuator_saturation[9],actuator_saturation[10],actuator_saturation[11],actuator_saturation[12],actuator_saturation[13],actuator_saturation[14],actuator_saturation[15]
267113869,-0.005562469,0.0041022883,5.9234644e-05,0.0,0.0,0.0,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
267120117,-0.0059127803,0.004162168,5.6468107e-05,0.0,0.0,1.1641532e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
267311370,-0.006293422,0.0039808047,0.001707565,0.0,0.0,0.0,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
267515116,-0.0061358036,0.0036655595,-0.0010331895,0.0,0.0,0.0,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
267715116,-0.0063578873,0.0037568435,0.0006515634,0.0,0.0,1.1641532e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
267917613,-0.005787899,0.003652203,6.053896e-06,0.0,0.0,0.0,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
268115116,-0.0035064071,-4.656613e-10,-0.00018451113,0.0,0.0,-4.656613e-10,0,0,1,0,-2,0,0,2,2,2,2,2,2,2,2,2,2,2,2
268316361,-4.656613e-10,4.656613e-10,3.4924597e-10,0.0,0.0,-3.7252903e-09,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
268513859,0.0,-5.122274e-09,-2.3283064e-10,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
268712610,4.656613e-09,-9.313226e-10,2.4447218e-09,0.0,0.0,-1.4901161e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
268912610,-1.8626451e-09,6.0535967e-09,-5.6024874e-09,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
269116362,9.313226e-10,-9.313226e-10,3.958121e-09,0.0,0.0,1.4901161e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
269313857,-9.313226e-09,4.656613e-09,-1.1816155e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
269517612,-8.381903e-09,6.9849193e-09,-7.494236e-09,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
269712609,1.0244548e-08,-7.450581e-09,2.028537e-08,0.0,0.0,-2.9802322e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
269912611,1.8626451e-08,3.7252903e-09,-3.2014214e-09,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
270112610,-1.7695129e-08,5.5879354e-09,-1.1692464e-08,0.0,0.0,-5.9604645e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
270312611,-5.5879354e-09,8.381903e-09,2.6950147e-08,0.0,0.0,-5.9604645e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
270517611,1.1175871e-08,0.0,-3.335299e-08,0.0,0.0,5.9604645e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
270716362,7.450581e-09,-5.122274e-09,4.5867637e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
270916362,2.0489097e-08,3.7252903e-09,-4.838421e-08,0.0,0.0,5.9604645e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
