timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
267474055,267473746,0.7386363,0.0040872465,3.0336332e-05,0.6740918,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
267974013,267973741,0.73878014,0.004093853,4.399123e-05,0.6739341,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
268474014,268473741,0.7388421,0.0040641255,4.1246105e-05,0.6738663,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
268974023,268973741,0.7387239,0.0040936046,2.2230775e-05,0.6739958,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
269474004,269473741,0.73871636,0.0039583105,9.700241e-05,0.6740049,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
269974006,269973741,0.73875785,0.003795247,0.00020336997,0.67396027,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
270474038,270473741,0.73882204,0.0036441118,0.00029834604,0.67389077,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
270974037,270973744,0.7389263,0.003344291,0.00068004534,0.6737777,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
271474038,271473740,0.7286362,-0.0036261484,-0.0029422003,0.6848851,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
271974012,271973741,0.72150594,0.0114656165,-0.012062588,0.6922083,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
272474005,272473740,0.725605,0.011720954,-0.0078656655,0.68796664,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
272974004,272973741,0.73054266,0.009776478,-0.005002662,0.6827787,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
273474006,273473741,0.7324102,0.0125924805,-0.0074546677,0.6807065,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
273974014,273973741,0.73373616,0.010670254,-0.0067251665,0.6793175,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
274474014,274473742,0.73470426,0.009211287,-0.010356682,0.67824596,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
274974005,274973741,0.7356624,0.008191569,-0.010404454,0.677219,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
275474002,275473740,0.73652035,0.0068436055,-0.011013244,0.67629117,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
275974037,275973741,0.73711836,0.004111312,-0.008569148,0.6756969,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
276474015,276473741,0.7374475,0.008433701,-0.0063330047,0.6753221,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
276974028,276973740,0.73729527,0.011796127,-0.00782249,0.6754224,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
277474015,277473741,0.7368791,0.009690948,-0.0071553616,0.67591727,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
277974019,277973744,0.73677003,0.01161887,-0.0058978894,0.6760179,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
278474010,278473741,0.7364086,0.008866104,-0.00947739,0.6764126,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
278974012,278973741,0.73605025,0.011533746,-0.009261657,0.67676526,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
279474029,279473741,0.7355001,0.007844479,-0.009395966,0.6774141,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
279974007,279973741,0.7353817,0.0067352285,-0.010901919,0.67753196,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
280474026,280473741,0.7360964,0.008557504,-0.013392518,0.6766902,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
280974026,280973741,0.7370597,0.0072872518,-0.0090420935,0.6757279,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
281474019,281473742,0.73727345,0.0066016223,-0.0067712483,0.6755283,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
281974003,281973740,0.7371155,0.0075783455,-0.006074462,0.675697,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
282474036,282473741,0.73706853,0.0048423083,-0.009363938,0.6757359,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
282974008,282973740,0.73720306,0.01039243,-0.006542633,0.6755597,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
283474007,283473741,0.7378024,0.012812324,-0.006379616,0.674865,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
283974006,283973741,0.7384584,0.010926084,-0.00811182,0.6741618,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
284474013,284473741,0.7388079,0.010703893,-0.010235217,0.6737534,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
