timestamp,timestamp_sample,information_event_changes,gps_checks_passed,reset_vel_to_gps,reset_vel_to_flow,reset_vel_to_vision,reset_vel_to_zero,reset_pos_to_last_known,reset_pos_to_gps,reset_pos_to_vision,starting_gps_fusion,starting_vision_pos_fusion,starting_vision_vel_fusion,starting_vision_yaw_fusion,yaw_aligned_to_imu_gps,reset_hgt_to_baro,reset_hgt_to_gps,reset_hgt_to_rng,reset_hgt_to_ev
267114361,243783740,12,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
268124172,243783740,12,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
269134343,243783740,12,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
270144341,243783740,12,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
271154350,243783740,12,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
272164338,243783740,12,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
272604215,272503741,13,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
272684312,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
273694191,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
274704182,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
275714190,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
276724178,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
277734332,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
278744338,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
279754183,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
280764356,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
281774177,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
282784349,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
283794338,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
284804329,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
285814339,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
286824181,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
