timestamp,voltage5v_v,voltage_payload_v,sensors3v3[0],sensors3v3[1],sensors3v3[2],sensors3v3[3],sensors3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc,comp_5v_valid,can1_gps1_5v_valid,payload_v_valid
267587021,5.054938,0.0,3.3184295,3.3283997,3.32558,3.325479,15,0,1,0,1,0,0,0,0,0
268087017,5.0342927,0.0,3.306244,3.3315215,3.3294067,3.3269897,15,0,1,0,1,0,0,0,0,0
268597018,5.019992,0.0,3.304834,3.3319244,3.327191,3.3304138,15,0,1,0,1,0,0,0,0,0
269087018,5.033789,0.0,3.3032227,3.331723,3.330011,3.326889,15,0,1,0,1,0,0,0,0,0
269587019,5.0459747,0.0,3.3329315,3.3253784,3.326889,3.326184,15,0,1,0,1,0,0,0,0,0
270087018,5.049399,0.0,3.3023162,3.33132,3.3239684,3.3260834,15,0,1,0,1,0,0,0,0,0
270587018,5.0474854,0.0,3.3114808,3.327896,3.3256805,3.3279967,15,0,1,0,1,0,0,0,0,0
271087019,5.0429535,0.0,3.3147032,3.331018,3.323767,3.3267882,15,0,1,0,1,0,0,0,0,0
271587019,5.034695,0.0,3.338269,3.3302124,3.3276947,3.3283997,15,0,1,0,1,0,0,0,0,0
272097019,5.03963,0.0,3.3335357,3.3297088,3.3262846,3.3272917,15,0,1,0,1,0,0,0,0,0
272587030,5.0267396,0.0,3.31279,3.3299103,3.3305144,3.3274932,15,0,1,0,1,0,0,0,0,0
273087018,5.0415435,0.0,3.3354492,3.3282988,3.3302124,3.327191,15,0,1,0,1,0,0,0,0,0
273587018,5.034494,0.0,3.3302124,3.3289032,3.32558,3.3281982,15,0,1,0,1,0,0,0,0,0
274087018,5.0387235,0.0,3.3101714,3.3281982,3.3294067,3.3262846,15,0,1,0,1,0,0,0,0,0
274587018,5.0439606,0.0,3.3063445,3.3306153,3.325781,3.3249755,15,0,1,0,1,0,0,0,0,0
275087018,5.03389,0.0,3.3144011,3.3311188,3.3301117,3.3286011,15,0,1,0,1,0,0,0,0,0
275597018,5.0395293,0.0,3.3025177,3.3308165,3.326587,3.3285003,15,0,1,0,1,0,0,0,0,0
276087021,5.024222,0.0,3.3332336,3.3281982,3.320343,3.3208466,15,0,1,0,1,0,0,0,0,0
276587018,5.036508,0.0,3.310675,3.3297088,3.326587,3.3277953,15,0,1,0,1,0,0,0,0,0
277087018,5.032379,0.0,3.3250763,3.3285003,3.3304138,3.3270905,15,0,1,0,1,0,0,0,0,0
277587018,5.0343933,0.0,3.3356507,3.3308165,3.3290038,3.3282988,15,0,1,0,1,0,0,0,0,0
278087051,5.0385222,0.0,3.304129,3.3323271,3.327896,3.3282988,15,0,1,0,1,0,0,0,0,0
278587018,5.0165677,0.0,3.3242705,3.327896,3.3287017,3.3226593,15,0,1,0,1,0,0,0,0,0
279097017,5.035904,0.0,3.3066466,3.330716,3.3243713,3.3259826,15,0,1,0,1,0,0,0,0,0
279597017,5.034796,0.0,3.3351471,3.3280976,3.3272917,3.3266876,15,0,1,0,1,0,0,0,0,0
280087021,5.036307,0.0,3.332428,3.3332336,3.3241699,3.3263855,15,0,1,0,1,0,0,0,0,0
280587018,5.03248,0.0,3.3212492,3.3283997,3.3286011,3.3249755,15,0,1,0,1,0,0,0,0,0
281087018,5.038321,0.0,3.332126,3.3279967,3.3269897,3.3269897,15,0,1,0,1,0,0,0,0,0
281587018,5.0194883,0.0,3.3009064,3.3289032,3.325177,3.323767,15,0,1,0,1,0,0,0,0,0
282087018,5.0399323,0.0,3.312387,3.3309174,3.3294067,3.3277953,15,0,1,0,1,0,0,0,0,0
282597018,5.0368104,0.0,3.3073516,3.3290038,3.3266876,3.3243713,15,0,1,0,1,0,0,0,0,0
283087018,5.0354004,0.0,3.3088622,3.3305144,3.3294067,3.3256805,15,0,1,0,1,0,0,0,0,0
283587018,5.036911,0.0,3.3052368,3.3318236,3.3288023,3.3294067,15,0,1,0,1,0,0,0,0,0
284087018,5.0385222,0.0,3.3322265,3.3298094,3.3279967,3.3233643,15,0,1,0,1,0,0,0,0,0
284587018,5.0301633,0.0,3.3125885,3.3316224,3.3290038,3.3260834,15,0,1,0,1,0,0,0,0,0
285087018,5.025128,0.0,3.326486,3.3270905,3.3259826,3.3276947,15,0,1,0,1,0,0,0,0,0
285587018,5.021805,0.0,3.3171203,3.327896,3.3232634,3.3249755,15,0,1,0,1,0,0,0,0,0
286097018,5.037515,0.0,3.3166168,3.3311188,3.3287017,3.3260834,15,0,1,0,1,0,0,0,0,0
286587019,5.037213,0.0,3.3263855,3.3311188,3.3290038,3.325882,15,0,1,0,1,0,0,0,0,0
287087019,5.040234,0.0,3.332025,3.3282988,3.3228607,3.3297088,15,0,1,0,1,0,0,0,0,0
287587018,5.01546,0.0,3.3107758,3.33273,3.3295074,3.330313,15,0,1,0,1,0,0,0,0,0
288087017,5.036911,0.0,3.3344421,3.3274932,3.3249755,3.3253784,15,0,1,0,1,0,0,0,0,0
288587018,5.03963,0.0,3.3044312,3.330313,3.3292053,3.3295074,15,0,1,0,1,0,0,0,0,0
289087018,5.0349975,0.0,3.3246734,3.3312194,3.3263855,3.3262846,15,0,1,0,1,0,0,0,0,0
289597018,5.0342927,0.0,3.3295074,3.3289032,3.3277953,3.3266876,15,0,1,0,1,0,0,0,0,0
290097031,5.0300627,0.0,3.3338377,3.3289032,3.3281982,3.3267882,15,0,1,0,1,0,0,0,0,0
290587018,5.0374146,0.0,3.3345428,3.331018,3.3243713,3.3294067,15,0,1,0,1,0,0,0,0,0
291087018,5.0349975,0.0,3.324774,3.3280976,3.3242705,3.3276947,15,0,1,0,1,0,0,0,0,0
291587018,5.039026,0.0,3.3319244,3.3298094,3.3277953,3.3269897,15,0,1,0,1,0,0,0,0,0
292087018,5.032782,0.0,3.3059418,3.3306153,3.3289032,3.32558,15,0,1,0,1,0,0,0,0,0
292587018,5.0325804,0.0,3.3160126,3.3308165,3.3283997,3.326184,15,0,1,0,1,0,0,0,0,0
293097018,5.027142,0.0,3.320343,3.3280976,3.3277953,3.3279967,15,0,1,0,1,0,0,0,0,0
293587020,5.0380187,0.0,3.332025,3.3316224,3.3282988,3.3277953,15,0,1,0,1,0,0,0,0,0
294087021,5.074475,0.0,3.3112793,3.3326294,3.3292053,3.3272917,15,0,1,0,1,0,0,0,0,0
294587018,5.0370116,0.0,3.3025177,3.331018,3.325781,3.3262846,15,0,1,0,1,0,0,0,0,0
295087018,5.033084,0.0,3.3043303,3.331018,3.3262846,3.326889,15,0,1,0,1,0,0,0,0,0
295587020,5.0388246,0.0,3.325479,3.3297088,3.3262846,3.327896,15,0,1,0,1,0,0,0,0,0
296087018,5.0399323,0.0,3.3104737,3.3302124,3.3287017,3.3270905,15,0,1,0,1,0,0,0,0,0
296597018,5.038623,0.0,3.3028197,3.3308165,3.3299103,3.3286011,15,0,1,0,1,0,0,0,0,0
297097018,5.0395293,0.0,3.3035247,3.3294067,3.3286011,3.3282988,15,0,1,0,1,0,0,0,0,0
297587018,5.032681,0.0,3.3297088,3.3322265,3.3256805,3.326889,15,0,1,0,1,0,0,0,0,0
298087018,5.03963,0.0,3.3028197,3.330716,3.326587,3.3276947,15,0,1,0,1,0,0,0,0,0
298587018,5.036307,0.0,3.3028197,3.3291047,3.326889,3.327594,15,0,1,0,1,0,0,0,0,0
299087018,5.03389,0.0,3.318933,3.3287017,3.3273926,3.3263855,15,0,1,0,1,0,0,0,0,0
299587018,5.04104,0.0,3.3049347,3.3316224,3.3253784,3.330011,15,0,1,0,1,0,0,0,0,0
300097017,5.0395293,0.0,3.3323271,3.3326294,3.3241699,3.3289032,15,0,1,0,1,0,0,0,0,0
300597018,5.041241,0.0,3.3361542,3.3283997,3.330313,3.3277953,15,0,1,0,1,0,0,0,0,0
301087018,5.0366087,0.0,3.3163147,3.3305144,3.3262846,3.325479,15,0,1,0,1,0,0,0,0,0
301587018,5.0356016,0.0,3.3071501,3.330716,3.3260834,3.326587,15,0,1,0,1,0,0,0,0,0
302087018,5.0286527,0.0,3.3316224,3.3277953,3.3286011,3.325882,15,0,1,0,1,0,0,0,0,0
302587018,5.0246243,0.0,3.3354492,3.326587,3.3224578,3.3273926,15,0,1,0,1,0,0,0,0,0
303087018,5.028351,0.0,3.3252776,3.3280976,3.3290038,3.32558,15,0,1,0,1,0,0,0,0,0
303597018,5.0345945,0.0,3.3329315,3.3287017,3.3248749,3.326587,15,0,1,0,1,0,0,0,0,0
304087018,5.0312715,0.0,3.3036253,3.3304138,3.3294067,3.325882,15,0,1,0,1,0,0,0,0,0
