timestamp,remote_timestamp,observed_offset,estimated_offset,round_trip_time,source_protocol
267840025,1781807125208623,-1781806857368980,-1781806857368563,759,2
268845598,1781807126214209,-1781806857369211,-1781806857368565,1195,2
269847830,1781807127216476,-1781806857368986,-1781806857368567,674,2
270850205,1781807128218766,-1781806857369072,-1781806857368568,1017,2
271856820,1781807129225449,-1781806857369824,-1781806857368572,2385,2
272859712,1781807130228440,-1781806857368988,-1781806857368574,514,2
273865429,1781807131234102,-1781806857369199,-1781806857368576,1046,2
274870486,1781807132239165,-1781806857369295,-1781806857368578,1224,2
275875706,1781807133244402,-1781806857369229,-1781806857368581,1061,2
276879699,1781807134248490,-1781806857369048,-1781806857368583,508,2
277884920,1781807135253710,-1781806857369373,-1781806857368586,1158,2
278890159,1781807136258807,-1781806857369136,-1781806857368588,971,2
279895372,1781807137264134,-1781806857369252,-1781806857368590,972,2
280899847,1781807138268612,-1781806857369094,-1781806857368592,651,2
281905592,1781807139274389,-1781806857369258,-1781806857368595,916,2
282909966,1781807140278739,-1781806857369164,-1781806857368597,776,2
283913484,1781807141282281,-1781806857369306,-1781806857368600,1011,2
284917463,1781807142285334,-1781806857369228,-1781806857368602,2706,2
285920517,1781807143289296,-1781806857369441,-1781806857368605,1317,2
286925314,1781807144294165,-1781806857369293,-1781806857368608,878,2
287929829,1781807145298680,-1781806857369173,-1781806857368610,637,2
288937966,1781807146305394,-1781806857369113,-1781806857368612,3363,2
289940830,1781807147309525,-1781806857369522,-1781806857368616,1649,2
290945642,1781807148314533,-1781806857369403,-1781806857368619,1017,2
291949932,1781807149318831,-1781806857369240,-1781806857368621,677,2
292955714,1781807150324565,-1781806857369508,-1781806857368624,1309,2
293959089,1781807151327604,-1781806857370034,-1781806857368629,3032,2
294960200,1781807152329047,-1781806857369295,-1781806857368631,857,2
295965677,1781807153334589,-1781806857369458,-1781806857368634,1051,2
296969936,1781807154338878,-1781806857369293,-1781806857368637,697,2
297974447,1781807155343006,-1781806857369043,-1781806857368638,961,2
298975631,1781807156344576,-1781806857369441,-1781806857368641,985,2
299979784,1781807157348799,-1781806857369319,-1781806857368644,601,2
300986304,1781807158355197,-1781806857369739,-1781806857368647,1685,2
301989429,1781807159358398,-1781806857369359,-1781806857368650,774,2
302995295,1781807160364220,-1781806857369380,-1781806857368653,903,2
304000177,1781807161369089,-1781806857369414,-1781806857368655,996,2
305003284,1781807162372279,-1781806857369487,-1781806857368658,978,2
306005581,1781807163374657,-1781806857369576,-1781806857368662,995,2
307010007,1781807164379034,-1781806857369436,-1781806857368664,777,2
308016207,1781807165384846,-1781806857369383,-1781806857368667,1482,2
309019790,1781807166388873,-1781806857369385,-1781806857368670,597,2
310025380,1781807167394493,-1781806857369601,-1781806857368673,971,2
311029747,1781807168398876,-1781806857369409,-1781806857368676,555,2
312035323,1781807169404446,-1781806857369521,-1781806857368679,790,2
313039947,1781807170409057,-1781806857369489,-1781806857368682,753,2
314045590,1781807171414713,-1781806857369611,-1781806857368686,971,2
315050031,1781807172419166,-1781806857369501,-1781806857368689,726,2
316055363,1781807173424553,-1781806857369674,-1781806857368693,963,2
317060231,1781807174429299,-1781806857369587,-1781806857368696,1030,2
318065975,1781807175434932,-1781806857369720,-1781806857368700,1518,2
319069903,1781807176439075,-1781806857369534,-1781806857368703,719,2
320075428,1781807177444614,-1781806857369704,-1781806857368707,1030,2
321079915,1781807178449148,-1781806857369596,-1781806857368710,720,2
322086467,1781807179455256,-1781806857369753,-1781806857368714,1920,2
323089878,1781807180459128,-1781806857369569,-1781806857368717,632,2
324095682,1781807181464916,-1781806857369776,-1781806857368721,1076,2
325100283,1781807182469445,-1781806857369685,-1781806857368725,1038,2
326105381,1781807183474665,-1781806857369750,-1781806857368728,924,2
327110178,1781807184479338,-1781806857369657,-1781806857368732,988,2
328115677,1781807185484885,-1781806857369760,-1781806857368736,1063,2
329120317,1781807186489592,-1781806857369811,-1781806857368740,1064,2
330125615,1781807187494919,-1781806857369918,-1781806857368744,1221,2
331129715,1781807188499113,-1781806857369666,-1781806857368747,531,2
332136825,1781807189506172,-1781806857370536,-1781806857368753,2373,2
333139984,1781807190509294,-1781806857369710,-1781806857368757,795,2
334145360,1781807191514616,-1781806857369711,-1781806857368761,905,2
335150025,1781807192519319,-1781806857369695,-1781806857368764,794,2
336155997,1781807193525261,-1781806857369986,-1781806857368769,1437,2
337159736,1781807194529199,-1781806857369742,-1781806857368773,553,2
338165699,1781807195535073,-1781806857369936,-1781806857368777,1118,2
339169816,1781807196539245,-1781806857369750,-1781806857368781,636,2
340176131,1781807197545551,-1781806857370262,-1781806857368786,1672,2
341180596,1781807198549411,-1781806857369520,-1781806857368789,1405,2
342185982,1781807199555135,-1781806857369890,-1781806857368793,1467,2
343188787,1781807200558029,-1781806857369657,-1781806857368797,824,2
344189975,1781807201559424,-1781806857369850,-1781806857368801,797,2
345195202,1781807202564659,-1781806857369834,-1781806857368805,748,2
346200200,1781807203569648,-1781806857369969,-1781806857368809,1003,2
347205532,1781807204575041,-1781806857369947,-1781806857368814,871,2
348210610,1781807205579820,-1781806857369890,-1781806857368818,1354,2
349215713,1781807206585207,-1781806857370132,-1781806857368823,1269,2
350220214,1781807207589539,-1781806857369820,-1781806857368827,985,2
351225391,1781807208594895,-1781806857370668,-1781806857368833,2322,2
352229923,1781807209599526,-1781806857369944,-1781806857368838,677,2
353235449,1781807210605031,-1781806857370041,-1781806857368842,911,2
354240158,1781807211609657,-1781806857369992,-1781806857368847,978,2
355245434,1781807212615033,-1781806857370002,-1781806857368851,798,2
356251639,1781807213620397,-1781806857369957,-1781806857368855,2391,2
357255564,1781807214625188,-1781806857370092,-1781806857368860,930,2
358260044,1781807215629683,-1781806857370053,-1781806857368865,823,2
359265309,1781807216634928,-1781806857370074,-1781806857368870,902,2
360270158,1781807217639642,-1781806857369917,-1781806857368874,861,2
361275997,1781807218645349,-1781806857370029,-1781806857368878,1347,2
362280449,1781807219649792,-1781806857369920,-1781806857368882,1149,2
363286777,1781807220656449,-1781806857370827,-1781806857368889,2305,2
364289928,1781807221659626,-1781806857370055,-1781806857368893,708,2
365296200,1781807222665415,-1781806857369980,-1781806857368898,1525,2
366300155,1781807223669763,-1781806857370075,-1781806857368903,926,2
367305463,1781807224675184,-1781806857370111,-1781806857368907,775,2
