timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
267114071,267113744,0.7386404,0.0040637287,3.8140468e-05,0.67408746,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
267119072,267118742,0.7386406,0.0040639183,3.6768284e-05,0.6740872,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
267164052,267163741,0.73863834,0.0040756376,3.4427987e-05,0.67408967,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
267214071,267213741,0.7384753,0.004081687,1.7066475e-05,0.67426825,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
267264059,267263743,0.73857695,0.0040669525,1.42987565e-05,0.674157,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
267314054,267313741,0.73888767,0.004093769,3.047041e-05,0.67381626,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
267364054,267363741,0.73849404,0.0040779323,4.782632e-05,0.6742477,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
267414056,267413741,0.7386903,0.00409108,3.579688e-05,0.6740326,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
267464062,267463741,0.738718,0.0040970203,2.8040302e-05,0.67400223,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
267514075,267513742,0.738498,0.004087131,4.453123e-05,0.67424333,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
267564059,267563742,0.738801,0.0040871375,4.8737737e-05,0.6739113,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
267614066,267613744,0.738519,0.004097977,4.69482e-05,0.67422026,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
267664061,267663741,0.73866886,0.004104977,4.0504707e-05,0.67405605,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
267714031,267713741,0.7387651,0.004092942,6.0909195e-05,0.6739506,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
267764055,267763741,0.7385016,0.004078564,4.5301407e-05,0.67423946,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
267814097,267813742,0.7388598,0.0040914407,4.1877618e-05,0.6738468,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
267864056,267863741,0.7385999,0.0040911445,5.3169828e-05,0.6741317,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
267914074,267913741,0.7386525,0.0040921574,4.9252438e-05,0.674074,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
267964072,267963743,0.73885214,0.0040975558,4.7191297e-05,0.6738551,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
268014060,268013741,0.7384935,0.004091169,4.626811e-05,0.6742482,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
268064042,268063741,0.73883545,0.00410721,4.701182e-05,0.6738735,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
268114017,268113740,0.7386826,0.0040934565,5.6028373e-05,0.67404103,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
268164044,268163741,0.7385802,0.0040872386,3.3126813e-05,0.6741533,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
268214015,268213740,0.7389041,0.0040873275,2.4981568e-05,0.6737982,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
268264016,268263740,0.738512,0.0040640687,5.110786e-05,0.67422813,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
268314043,268313742,0.7388438,0.004082657,2.7618766e-05,0.6738644,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
268364037,268363741,0.7387219,0.004073136,4.65869e-05,0.6739981,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
268414038,268413740,0.7385983,0.0040772003,5.877104e-05,0.67413354,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
268464043,268463741,0.7389464,0.0040930547,7.7835946e-05,0.67375195,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
268514045,268513741,0.73847574,0.0040626545,4.8646958e-05,0.6742678,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
268564016,268563740,0.73891395,0.0040734992,5.5051547e-05,0.6737876,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
268614038,268613741,0.7386162,0.0040487647,5.9138125e-05,0.67411405,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
268664041,268663742,0.7386976,0.0040533207,3.541849e-05,0.6740248,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
268714045,268713741,0.7388628,0.0040636044,3.3576143e-05,0.6738437,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
268764037,268763741,0.73857915,0.0040528667,3.085991e-05,0.67415464,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
268814043,268813741,0.73890626,0.0040718033,3.2893964e-05,0.67379594,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
268864047,268863741,0.7386172,0.0040610074,3.1971802e-05,0.674113,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
268914039,268913741,0.73875695,0.0040813526,1.538981e-05,0.6739597,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
268964017,268963741,0.7387977,0.004092281,1.3011359e-05,0.6739149,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
269014041,269013741,0.73863626,0.004067998,1.0332954e-05,0.674092,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
269064040,269063741,0.73888993,0.0040436923,2.0457226e-05,0.6738141,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
269114038,269113740,0.7386258,0.004047594,2.6217018e-05,0.67410356,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
269164038,269163740,0.73879397,0.00404437,-1.435553e-06,0.67391926,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
269214042,269213741,0.7387688,0.004043538,-1.3296976e-05,0.6739469,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
269264049,269263742,0.73868906,0.0040003373,3.4244185e-05,0.67403454,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
269314041,269313740,0.7388461,0.003996437,4.3439497e-05,0.67386234,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
269364045,269363743,0.73865676,0.004028707,1.780361e-05,0.6740698,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
269414042,269413741,0.73881257,0.0040100394,4.074992e-05,0.6738991,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
269464039,269463741,0.73875153,0.0039890576,7.390008e-05,0.67396617,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
269514039,269513741,0.73873985,0.0039506806,7.386171e-05,0.6739792,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
269564053,269563741,0.73881495,0.0039650463,7.2495925e-05,0.6738968,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
269614061,269613741,0.73872,0.0039157076,0.00011154594,0.6740011,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
269664041,269663741,0.73881775,0.0039072116,0.00010321793,0.67389405,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
269714042,269713742,0.73875767,0.0039411127,9.654662e-05,0.6739597,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
