timestamp,flag_armed,flag_multicopter_position_control_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_position_enabled,flag_control_velocity_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_acceleration_enabled,flag_control_attitude_enabled,flag_control_rates_enabled,flag_control_allocation_enabled,flag_control_termination_enabled,source_id
267048510,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
267557149,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
268064347,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
268570176,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
269076166,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
269582148,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
270088149,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
270594514,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
271100222,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
271606166,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
272112147,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
272618148,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
273124571,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
273630177,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
274136148,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
274642149,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
275148148,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
275654548,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
276160177,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
276666148,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
277172148,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
277678148,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
278184349,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
278690221,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
279196148,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
279702147,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
280208148,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
280714400,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
281220178,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
281726148,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
282232147,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
282738149,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
283244593,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
283750205,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
284256148,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
284762147,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
285268169,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
285774524,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
286280178,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
286786148,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
287292148,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
287798148,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
288304513,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
288810178,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
289316176,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
289822147,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
290328149,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
290834358,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
291340177,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
291846147,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
292352148,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
292858148,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
293364343,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
293870225,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
294376201,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
294882147,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
295388148,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
295894326,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
296400226,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
296906149,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
297412198,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
297918150,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
298424443,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
298930177,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
299436148,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
299942161,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
300448148,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
300954390,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
301460176,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
301966158,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
302472147,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
302978149,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
303484537,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
303990210,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
304496148,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
305002147,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
305508148,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
306014345,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
306520178,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
307026148,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
307532149,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
308038148,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
308544538,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
309050346,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
309556147,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
310062148,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
310568169,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
311074518,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
311580176,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
312086148,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
312592148,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
313098148,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
313604358,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
314110175,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
314616149,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
315122147,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
315628148,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
316134402,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
316640234,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
317146261,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
317652147,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
318158149,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
318664509,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
319170176,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
319676149,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
320182147,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
320688149,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
321194540,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
321700178,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
322206152,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
322712147,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
323218149,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
323724511,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
324230178,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
324736148,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
325242149,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
325748149,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
326254332,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
326760176,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
327266148,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
327772147,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
328278149,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
328784563,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
329290176,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
329796172,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
330302147,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
330808148,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
331314329,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
331820176,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
332326148,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
332832166,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
333338236,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
333844583,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
334350178,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
334856289,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
335362148,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
335868170,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
336374396,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
336880204,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
337386149,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
337892147,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
338398148,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
338904511,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
339410231,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
339916148,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
340422147,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
340928149,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
341434514,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
341940178,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
342446148,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
342952148,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
343458148,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
343964350,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
344470306,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
344976149,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
345482148,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
345988148,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
346494520,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
347000177,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
347506148,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
348012147,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
348518169,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
349024543,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
349530178,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
350036148,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
350542147,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
351048148,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
351554611,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
352060176,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
352566149,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
353072147,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
353578148,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
354084515,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
354590226,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
355096148,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
355602148,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
356108148,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
356614575,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
357120199,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
357626148,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
358132147,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
358638150,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
359144348,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
359650216,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
360156168,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
360662147,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
361168169,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
361674522,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
362180342,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
362686149,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
363192148,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
363698168,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
364204530,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
364710199,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
365216232,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
365722168,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
366228167,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
366734364,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
367240203,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
367746168,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
368252167,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
368758149,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
369264645,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
369770176,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
370276148,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
370782147,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
371288148,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
371794355,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
372300177,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
372806147,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
373312147,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
373818148,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
374324542,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
374830177,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
